variant,entity,stress,topo,precision,recall,f1
A2,CU,CPU,cu0_du0du1,0.9312,1.0000,0.9644
A2,CU,CPU,cu1_du2,0.9779,1.0000,0.9888
A2,CU,CPU,cu2_du3du4du5,0.9516,1.0000,0.9752
A2,CU,MEM,cu0_du0du1,0.9516,1.0000,0.9752
A2,CU,MEM,cu1_du2,0.9725,1.0000,0.9861
A2,CU,MEM,cu2_du3du4du5,0.9459,0.9887,0.9669
A2,CU,NET,cu0_du0du1,0.9693,0.8827,0.9240
A2,CU,NET,cu1_du2,0.7500,0.0169,0.0330
A2,CU,NET,cu2_du3du4du5,0.3846,0.0279,0.0521
A2,DU,CPU,cu0_du0du1,0.9291,1.0000,0.9633
A2,DU,CPU,cu1_du2,0.9779,1.0000,0.9888
A2,DU,CPU,cu2_du3du4du5,0.9550,1.0000,0.9770
A2,DU,MEM,cu0_du0du1,0.9365,1.0000,0.9672
A2,DU,MEM,cu1_du2,0.9833,1.0000,0.9916
A2,DU,MEM,cu2_du3du4du5,0.9632,0.9887,0.9758
A2,DU,NET,cu0_du0du1,0.9416,0.9916,0.9660
A2,DU,NET,cu1_du2,0.9944,0.9944,0.9944
A2,DU,NET,cu2_du3du4du5,0.9570,0.9944,0.9753
