variant,entity,stress,topo,precision,recall,f1
A4,CU,CPU,cu0_du0du1,0.9263,1.0000,0.9617
A4,CU,CPU,cu1_du2,0.9568,1.0000,0.9779
A4,CU,CPU,cu2_du3du4du5,0.9415,1.0000,0.9699
A4,CU,MEM,cu0_du0du1,0.9465,1.0000,0.9725
A4,CU,MEM,cu1_du2,0.9516,1.0000,0.9752
A4,CU,MEM,cu2_du3du4du5,0.9409,0.9887,0.9642
A4,CU,NET,cu0_du0du1,0.9319,0.9944,0.9622
A4,CU,NET,cu1_du2,0.9068,0.6011,0.7230
A4,CU,NET,cu2_du3du4du5,0.8305,0.2737,0.4118
A4,DU,CPU,cu0_du0du1,0.9124,1.0000,0.9542
A4,DU,CPU,cu1_du2,0.9124,1.0000,0.9542
A4,DU,CPU,cu2_du3du4du5,0.9515,1.0000,0.9752
A4,DU,MEM,cu0_du0du1,0.9340,1.0000,0.9659
A4,DU,MEM,cu1_du2,0.9219,1.0000,0.9593
A4,DU,MEM,cu2_du3du4du5,0.9635,0.9962,0.9796
A4,DU,NET,cu0_du0du1,0.9269,0.9916,0.9582
A4,DU,NET,cu1_du2,0.9223,0.9944,0.9570
A4,DU,NET,cu2_du3du4du5,0.9485,0.9944,0.9709
