ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.961749,1.000000,0.980501,176,7,0,245.928336,2
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.961957,1.000000,0.980609,177,7,0,245.928336,2
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.920139,1.000000,0.958409,530,46,0,,2
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,251,0,252.884409,3
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.908163,1.000000,0.951872,178,18,0,251.856011,3
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.972678,0.994413,0.983425,178,5,1,251.856011,3
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.931937,0.997199,0.963464,356,26,1,,3
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,278,0,261.393337,3
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.681992,0.994413,0.809091,178,83,1,264.770591,3
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.454082,0.994413,0.623468,178,214,1,,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,212,0,248.311155,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.967391,0.994413,0.980716,178,6,1,245.928336,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.983333,0.988827,0.986072,177,3,2,245.928336,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.978022,1.000000,0.988889,178,4,0,245.928336,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.906463,0.994403,0.948399,533,55,3,,3
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.967391,0.994413,0.980716,178,6,1,252.884409,3
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,19,0,251.856011,3
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,6,0,251.856011,3
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.864078,0.994413,0.924675,178,28,1,,3
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.977778,0.983240,0.980501,176,4,3,261.393337,3
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,2,0,264.770591,3
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.972376,0.983240,0.977778,176,5,3,,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.926316,0.983240,0.953930,176,14,3,248.311155,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.000000,0.000000,0.000000,0,1,0,245.928336,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.000000,0.000000,0.000000,0,0,0,245.928336,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.000000,0.000000,0.000000,0,2,0,245.928336,3
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.911917,0.983240,0.946237,176,17,3,,3
