ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.983333,1.000000,0.991597,177,3,0,246.528036,2
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.972376,1.000000,0.985994,176,5,0,246.528036,2
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.972527,1.000000,0.986072,177,5,0,246.528036,2
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.961887,1.000000,0.980574,530,21,0,,2
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,250,0,204.882041,3
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.912821,1.000000,0.954424,178,17,0,249.942025,3
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.978022,0.994413,0.986150,178,4,1,249.942025,3
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.944297,0.997199,0.970027,356,21,1,,3
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,124,0,147.398044,3
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.983425,0.994413,0.988889,178,3,1,170.466132,3
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.972678,0.994413,0.983425,178,5,1,,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,89,0,236.651309,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.972678,0.994413,0.983425,178,5,1,246.528036,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.983333,0.988827,0.986072,177,3,2,246.528036,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.978022,1.000000,0.988889,178,4,0,246.528036,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.974406,0.994403,0.984303,533,14,3,,3
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.978022,0.994413,0.986150,178,4,1,204.882041,3
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,19,0,249.942025,3
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,2,0,249.942025,3
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.876847,0.994413,0.931937,178,25,1,,3
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.977011,0.949721,0.963173,170,4,9,147.398044,3
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,2,0,170.466132,3
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.965909,0.949721,0.957746,170,6,9,,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.978261,0.754190,0.851735,135,3,44,236.651309,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.000000,0.000000,0.000000,0,0,0,246.528036,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.000000,0.000000,0.000000,0,0,0,246.528036,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.000000,0.000000,0.000000,0,1,0,246.528036,3
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.971223,0.754190,0.849057,135,4,44,,3
