variant,entity,stress,topo,precision,recall,f1
A1,CU,CPU,cu0_du0du1,0.9263,1.0000,0.9617
A1,CU,CPU,cu1_du2,0.9779,1.0000,0.9888
A1,CU,CPU,cu2_du3du4du5,0.9415,1.0000,0.9699
A1,CU,MEM,cu0_du0du1,0.9465,1.0000,0.9725
A1,CU,MEM,cu1_du2,0.9725,1.0000,0.9861
A1,CU,MEM,cu2_du3du4du5,0.9409,0.9887,0.9642
A1,CU,NET,cu0_du0du1,0.9462,0.9832,0.9644
A1,CU,NET,cu1_du2,0.0000,0.0000,0.0000
A1,CU,NET,cu2_du3du4du5,0.9362,0.9832,0.9591
A1,DU,CPU,cu0_du0du1,0.9171,1.0000,0.9568
A1,DU,CPU,cu1_du2,0.9725,1.0000,0.9861
A1,DU,CPU,cu2_du3du4du5,0.9532,0.9981,0.9751
A1,DU,MEM,cu0_du0du1,0.9365,1.0000,0.9672
A1,DU,MEM,cu1_du2,0.9833,1.0000,0.9916
A1,DU,MEM,cu2_du3du4du5,0.9650,0.9887,0.9767
A1,DU,NET,cu0_du0du1,0.9293,0.9916,0.9595
A1,DU,NET,cu1_du2,0.9622,0.9944,0.9780
A1,DU,NET,cu2_du3du4du5,0.9484,0.9926,0.9700
