stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
MEM,cu1_du2,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,ANY,117,117,3,0,0.9750,1.0000,0.9873,,,,
MEM,cu2_du3du4du5,CU,117,116,6,1,0.9508,0.9915,0.9707,0,116,0.0,cpu
MEM,cu2_du3du4du5,DU_0,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_1,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_2,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,ANY,117,116,6,1,0.9508,0.9915,0.9707,,,,
NET,cu0_du0du1,CU,119,115,402,4,0.2224,0.9664,0.3616,115,115,100.0,net_diff
NET,cu0_du0du1,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_1,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,ANY,119,115,403,4,0.2220,0.9664,0.3611,,,,
NET,cu1_du2,CU,119,113,3,6,0.9741,0.9496,0.9617,113,113,100.0,net_diff
NET,cu1_du2,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,119,113,3,6,0.9741,0.9496,0.9617,,,,
NET,cu2_du3du4du5,CU,119,117,6,2,0.9512,0.9832,0.9669,117,117,100.0,net_diff
NET,cu2_du3du4du5,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,119,117,6,2,0.9512,0.9832,0.9669,,,,
NET,cu0_du0du1,CU,179,178,14,1,0.9271,0.9944,0.9596,178,178,100.0,net_diff
NET,cu0_du0du1,DU_0,0,0,11,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_1,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,ANY,179,178,24,1,0.8812,0.9944,0.9344,,,,
NET,cu1_du2,CU,179,144,2,35,0.9863,0.8045,0.8862,144,144,100.0,net_diff
NET,cu1_du2,DU_0,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,179,144,6,35,0.9600,0.8045,0.8754,,,,
NET,cu2_du3du4du5,CU,179,36,10,143,0.7826,0.2011,0.3200,36,36,100.0,net_diff
NET,cu2_du3du4du5,DU_0,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,6,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,179,36,10,143,0.7826,0.2011,0.3200,,,,
CPU,cu0_du0du1,CU,0,0,968,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_0,177,177,17,0,0.9124,1.0000,0.9542,177,177,100.0,cpu
CPU,cu0_du0du1,DU_1,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu0_du0du1,ANY,354,354,746,0,0.3218,1.0000,0.4869,,,,
CPU,cu1_du2,CU,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,DU_0,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu1_du2,ANY,177,177,6,0,0.9672,1.0000,0.9833,,,,
CPU,cu2_du3du4du5,CU,0,0,22,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_0,177,177,17,0,0.9124,1.0000,0.9542,177,177,100.0,cpu
CPU,cu2_du3du4du5,DU_1,176,176,9,0,0.9514,1.0000,0.9751,176,176,100.0,cpu
CPU,cu2_du3du4du5,DU_2,177,177,14,0,0.9267,1.0000,0.9620,177,177,100.0,cpu
CPU,cu2_du3du4du5,ANY,530,530,31,0,0.9447,1.0000,0.9716,,,,
MEM,cu0_du0du1,CU,116,116,31,0,0.7891,1.0000,0.8821,0,116,0.0,cpu
MEM,cu0_du0du1,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,ANY,116,116,31,0,0.7891,1.0000,0.8821,,,,
MEM,cu1_du2,CU,117,117,3,0,0.9750,1.0000,0.9873,0,117,0.0,cpu
MEM,cu1_du2,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,ANY,117,117,3,0,0.9750,1.0000,0.9873,,,,
MEM,cu2_du3du4du5,CU,117,116,6,1,0.9508,0.9915,0.9707,0,116,0.0,cpu
MEM,cu2_du3du4du5,DU_0,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_1,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_2,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,ANY,117,116,6,1,0.9508,0.9915,0.9707,,,,
NET,cu0_du0du1,CU,179,178,14,1,0.9271,0.9944,0.9596,178,178,100.0,net_diff
NET,cu0_du0du1,DU_0,0,0,11,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_1,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,ANY,179,178,24,1,0.8812,0.9944,0.9344,,,,
NET,cu1_du2,CU,179,144,2,35,0.9863,0.8045,0.8862,144,144,100.0,net_diff
