ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,32,0,247.614753,2
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.961957,1.000000,0.980609,177,7,0,235.816787,2
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.956522,1.000000,0.977778,176,8,0,235.816787,2
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.961957,1.000000,0.980609,177,7,0,235.816787,2
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.921739,1.000000,0.959276,530,45,0,,2
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,251,0,241.766444,3
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.908163,1.000000,0.951872,178,18,0,243.989912,3
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.978022,0.994413,0.986150,178,4,1,243.989912,3
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.939314,0.997199,0.967391,356,23,1,,3
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,170,0,249.512653,3
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.967391,0.994413,0.980716,178,6,1,247.420914,3
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.851675,0.994413,0.917526,178,31,1,,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,183,0,247.614753,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.967391,0.994413,0.980716,178,6,1,235.816787,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.972527,0.988827,0.980609,177,5,2,235.816787,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.972678,1.000000,0.986150,178,5,0,235.816787,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.950089,0.994403,0.971741,533,28,3,,3
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.978022,0.994413,0.986150,178,4,1,241.766444,3
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,19,0,243.989912,3
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,4,0,243.989912,3
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.872549,0.994413,0.929504,178,26,1,,3
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.936508,0.988827,0.961957,177,12,2,249.512653,3
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,3,0,247.420914,3
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.921875,0.988827,0.954178,177,15,2,,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.897297,0.927374,0.912088,166,19,13,247.614753,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.000000,0.000000,0.000000,0,0,0,235.816787,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.000000,0.000000,0.000000,0,0,0,235.816787,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.000000,0.000000,0.000000,0,1,0,235.816787,3
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.892473,0.927374,0.909589,166,20,13,,3
