variant,entity,stress,topo,precision,recall,f1
A3,CU,CPU,cu0_du0du1,0.9312,1.0000,0.9644
A3,CU,CPU,cu1_du2,0.5380,1.0000,0.6996
A3,CU,CPU,cu2_du3du4du5,0.9415,1.0000,0.9699
A3,CU,MEM,cu0_du0du1,0.9316,1.0000,0.9646
A3,CU,MEM,cu1_du2,0.5900,1.0000,0.7421
A3,CU,MEM,cu2_du3du4du5,0.9409,0.9887,0.9642
A3,CU,NET,cu0_du0du1,0.9175,0.9944,0.9544
A3,CU,NET,cu1_du2,0.8630,0.3539,0.5020
A3,CU,NET,cu2_du3du4du5,0.6552,0.1061,0.1827
A3,DU,CPU,cu0_du0du1,0.8613,1.0000,0.9255
A3,DU,CPU,cu1_du2,0.9077,1.0000,0.9516
A3,DU,CPU,cu2_du3du4du5,0.9515,1.0000,0.9752
A3,DU,MEM,cu0_du0du1,0.9316,1.0000,0.9646
A3,DU,MEM,cu1_du2,0.9365,1.0000,0.9672
A3,DU,MEM,cu2_du3du4du5,0.9632,0.9887,0.9758
A3,DU,NET,cu0_du0du1,0.8965,0.9916,0.9416
A3,DU,NET,cu1_du2,0.8990,0.9944,0.9443
A3,DU,NET,cu2_du3du4du5,0.9482,0.9888,0.9681
